customer_id,company_id,customer_code,customer_name,city,industry,credit_days,customer_level,is_synthetic
1,1,客户-0001,嘉兴启辰电器制造有限公司,嘉兴,家电,45,C,1
2,1,客户-0002,南京德瑞电子科技有限公司,南京,电子电气,45,B,1
3,1,客户-0003,苏州博远新能源科技有限公司,苏州,新能源电池,60,C,1
4,1,客户-0004,绍兴科盛机械制造有限公司,绍兴,通用机械,45,C,1
5,1,客户-0005,杭州华锐医疗设备有限公司,杭州,医疗器械,90,C,1
6,1,客户-0006,无锡金澜光伏设备有限公司,无锡,光伏,60,B,1
7,1,客户-0007,湖州鼎新汽车部件有限公司,湖州,汽车零部件,90,A,1
8,1,客户-0008,宁波朗拓电器制造有限公司,宁波,家电,60,B,1
9,1,客户-0009,常州瑞恒电子科技有限公司,常州,电子电气,45,B,1
10,1,客户-0010,上海嘉联新能源科技有限公司,上海,新能源电池,90,A,1
11,1,客户-0011,嘉兴宏泽机械制造有限公司,嘉兴,通用机械,30,B,1
12,1,客户-0012,南京新迈医疗设备有限公司,南京,医疗器械,60,C,1
13,1,客户-0013,苏州卓航光伏设备有限公司,苏州,光伏,90,B,1
14,1,客户-0014,绍兴联创汽车部件有限公司,绍兴,汽车零部件,30,B,1
15,1,客户-0015,杭州信达电器制造有限公司,杭州,家电,90,B,1
16,1,客户-0016,无锡凯卓电子科技有限公司,无锡,电子电气,90,A,1
17,1,客户-0017,湖州远川新能源科技有限公司,湖州,新能源电池,45,B,1
18,1,客户-0018,宁波明泰机械制造有限公司,宁波,通用机械,30,C,1
19,1,客户-0019,常州正源医疗设备有限公司,常州,医疗器械,90,B,1
20,1,客户-0020,上海优成光伏设备有限公司,上海,光伏,45,B,1
21,1,客户-0021,嘉兴启辰精工汽车部件有限公司,嘉兴,汽车零部件,30,A,1
22,1,客户-0022,南京德瑞精工电器制造有限公司,南京,家电,90,B,1
23,1,客户-0023,苏州博远精工电子科技有限公司,苏州,电子电气,90,C,1
24,1,客户-0024,绍兴科盛精工新能源科技有限公司,绍兴,新能源电池,30,B,1
25,1,客户-0025,杭州华锐精工机械制造有限公司,杭州,通用机械,30,C,1
26,1,客户-0026,无锡金澜精工医疗设备有限公司,无锡,医疗器械,45,C,1
27,1,客户-0027,湖州鼎新精工光伏设备有限公司,湖州,光伏,45,B,1
28,1,客户-0028,宁波朗拓精工汽车部件有限公司,宁波,汽车零部件,30,C,1
29,1,客户-0029,常州瑞恒精工电器制造有限公司,常州,家电,45,B,1
30,1,客户-0030,上海嘉联精工电子科技有限公司,上海,电子电气,90,A,1
31,1,客户-0031,嘉兴宏泽精工新能源科技有限公司,嘉兴,新能源电池,90,B,1
32,1,客户-0032,南京新迈精工机械制造有限公司,南京,通用机械,90,C,1
33,1,客户-0033,苏州卓航精工医疗设备有限公司,苏州,医疗器械,60,A,1
34,1,客户-0034,绍兴联创精工光伏设备有限公司,绍兴,光伏,30,B,1
35,1,客户-0035,杭州信达精工汽车部件有限公司,杭州,汽车零部件,90,C,1
36,1,客户-0036,无锡凯卓精工电器制造有限公司,无锡,家电,60,B,1
37,1,客户-0037,湖州远川精工电子科技有限公司,湖州,电子电气,30,A,1
38,1,客户-0038,宁波明泰精工新能源科技有限公司,宁波,新能源电池,45,B,1
39,1,客户-0039,常州正源精工机械制造有限公司,常州,通用机械,45,B,1
40,1,客户-0040,上海优成精工医疗设备有限公司,上海,医疗器械,45,C,1
41,1,客户-0041,嘉兴启辰精工光伏设备有限公司,嘉兴,光伏,60,B,1
42,1,客户-0042,南京德瑞精工汽车部件有限公司,南京,汽车零部件,60,A,1
43,1,客户-0043,苏州博远精工电器制造有限公司,苏州,家电,30,B,1
44,1,客户-0044,绍兴科盛精工电子科技有限公司,绍兴,电子电气,30,C,1
45,1,客户-0045,杭州华锐精工新能源科技有限公司,杭州,新能源电池,90,B,1
46,1,客户-0046,无锡金澜精工机械制造有限公司,无锡,通用机械,45,B,1
47,1,客户-0047,湖州鼎新精工医疗设备有限公司,湖州,医疗器械,60,B,1
48,1,客户-0048,宁波朗拓精工光伏设备有限公司,宁波,光伏,90,A,1
49,1,客户-0049,常州瑞恒精工汽车部件有限公司,常州,汽车零部件,60,C,1
50,1,客户-0050,上海嘉联精工电器制造有限公司,上海,家电,60,B,1
51,1,客户-0051,嘉兴宏泽精工电子科技有限公司,嘉兴,电子电气,45,A,1
52,1,客户-0052,南京新迈精工新能源科技有限公司,南京,新能源电池,90,C,1
53,1,客户-0053,苏州卓航精工机械制造有限公司,苏州,通用机械,60,C,1
54,1,客户-0054,绍兴联创精工医疗设备有限公司,绍兴,医疗器械,60,C,1
55,1,客户-0055,杭州信达精工光伏设备有限公司,杭州,光伏,60,C,1
56,1,客户-0056,无锡凯卓精工汽车部件有限公司,无锡,汽车零部件,90,B,1
57,1,客户-0057,湖州远川精工电器制造有限公司,湖州,家电,60,A,1
58,1,客户-0058,宁波明泰精工电子科技有限公司,宁波,电子电气,60,C,1
59,1,客户-0059,常州正源精工新能源科技有限公司,常州,新能源电池,90,C,1
60,1,客户-0060,上海优成精工机械制造有限公司,上海,通用机械,45,B,1
61,1,客户-0061,嘉兴启辰精工医疗设备有限公司,嘉兴,医疗器械,60,B,1
62,1,客户-0062,南京德瑞精工光伏设备有限公司,南京,光伏,45,C,1
63,1,客户-0063,苏州博远精工汽车部件有限公司,苏州,汽车零部件,60,C,1
64,1,客户-0064,绍兴科盛精工电器制造有限公司,绍兴,家电,45,A,1
65,1,客户-0065,杭州华锐精工电子科技有限公司,杭州,电子电气,45,C,1
66,1,客户-0066,无锡金澜精工新能源科技有限公司,无锡,新能源电池,45,C,1
67,1,客户-0067,湖州鼎新精工机械制造有限公司,湖州,通用机械,90,B,1
68,1,客户-0068,宁波朗拓精工医疗设备有限公司,宁波,医疗器械,90,C,1
69,1,客户-0069,常州瑞恒精工光伏设备有限公司,常州,光伏,45,B,1
70,1,客户-0070,上海嘉联精工汽车部件有限公司,上海,汽车零部件,60,C,1
71,1,客户-0071,嘉兴宏泽精工电器制造有限公司,嘉兴,家电,90,B,1
72,1,客户-0072,南京新迈精工电子科技有限公司,南京,电子电气,30,A,1
73,1,客户-0073,苏州卓航精工新能源科技有限公司,苏州,新能源电池,45,B,1
74,1,客户-0074,绍兴联创精工机械制造有限公司,绍兴,通用机械,60,B,1
75,1,客户-0075,杭州信达精工医疗设备有限公司,杭州,医疗器械,45,B,1
76,1,客户-0076,无锡凯卓精工光伏设备有限公司,无锡,光伏,45,B,1
77,1,客户-0077,湖州远川精工汽车部件有限公司,湖州,汽车零部件,45,B,1
78,1,客户-0078,宁波明泰精工电器制造有限公司,宁波,家电,45,C,1
79,1,客户-0079,常州正源精工电子科技有限公司,常州,电子电气,90,C,1
80,1,客户-0080,上海优成精工新能源科技有限公司,上海,新能源电池,90,A,1
